Timestamp,League,DisplayName,BaseName,ClassName,Rarity,StackSize,Enchanted1_Display
2026-01-06T21:00:22.5895659+00:00,Unknown,Thief's Trinket,Thief's Trinket,Trinket,Rare,,
2026-01-06T21:00:22.5895800+00:00,Unknown,Eagle Claw,Eagle Claw,Claw,Rare,,Enchantment Physical Modifier Effect and Attribute Modifier Effect
2026-01-06T21:00:22.5896131+00:00,Unknown,Replica Tempestuous Steel,War Sword,One Hand Sword,Unique,,
2026-01-06T21:01:05.3881090+00:00,Unknown,Engraved Hatchet,Engraved Hatchet,One Hand Axe,Rare,,Enchantment Physical Modifier Effect and No Green Sockets
2026-01-06T21:01:05.3881322+00:00,Unknown,Replica Oro's Sacrifice,Infernal Sword,Two Hand Sword,Unique,,
2026-01-06T21:01:10.3961323+00:00,Unknown,Compound Bow,Compound Bow,Bow,Rare,,Enchantment Fire Modifier Effect and Only Blue Sockets
2026-01-06T21:01:10.3961541+00:00,Unknown,Boom Mace,Boom Mace,One Hand Mace,Rare,,
2026-01-06T21:01:10.3961637+00:00,Unknown,Full Dragonscale,Full Dragonscale,Body Armour,Rare,,Enchantment Defence Modifier Effect
2026-01-06T22:48:05.6006831+00:00,Unknown,Replica Kalisa's Grace,Samite Gloves,Gloves,Unique,,
2026-01-06T22:48:10.6055898+00:00,Unknown,Replica Frostbreath,Ornate Mace,One Hand Mace,Unique,,
2026-01-06T22:48:10.6058184+00:00,Unknown,Replica Twyzel,Blasting Wand,Wand,Unique,,
2026-01-06T22:48:10.6058270+00:00,Unknown,Replica Cold Iron Point,Ezomyte Dagger,Rune Dagger,Unique,,
2026-01-06T22:48:10.6058300+00:00,Unknown,Savant's Robe,Savant's Robe,Body Armour,Rare,,Enchantment White Sockets
2026-01-06T22:48:22.7143107+00:00,Unknown,Replica Cold Iron Point,Ezomyte Dagger,Rune Dagger,Unique,,
2026-01-06T22:49:38.0042639+00:00,Unknown,Replica Fencoil,Gnarled Branch,Staff,Unique,,
2026-01-06T22:49:43.0206940+00:00,Unknown,Banishing Blade,Banishing Blade,Two Hand Sword,Rare,,
2026-01-06T22:49:43.0207183+00:00,Unknown,Shattershard,Crimson Round Shield,Shield,Unique,,
2026-01-06T22:49:43.0207223+00:00,Unknown,Replica Voidwalker,Murder Boots,Boots,Unique,,
2026-01-06T22:49:43.0207362+00:00,Unknown,Replica Leer Cast,Festival Mask,Helmet,Unique,,
2026-01-06T22:50:50.7280485+00:00,Unknown,Apex Cleaver,Apex Cleaver,Two Hand Axe,Rare,,
2026-01-06T22:50:55.7285819+00:00,Unknown,Replica Tulfall,Opal Wand,Wand,Unique,,
2026-01-06T22:50:55.7287941+00:00,Unknown,18x Orb of Binding,Orb of Binding,StackableCurrency,,18,
2026-01-06T22:50:55.7288023+00:00,Unknown,Replica Voideye,Unset Ring,Ring,Unique,,
2026-01-06T22:50:55.7288083+00:00,Unknown,Anarchic Spiritblade,Anarchic Spiritblade,One Hand Sword,Rare,,
2026-01-06T22:51:58.4216756+00:00,Unknown,Replica Three-step Assault,Shagreen Boots,Boots,Unique,,
2026-01-06T22:52:03.4337957+00:00,Unknown,17x Orb of Unmaking,Orb of Unmaking,StackableCurrency,,17,
2026-01-06T22:52:03.4338264+00:00,Unknown,Impact Force Propagator,Impact Force Propagator,Two Hand Mace,Rare,,
2026-01-06T22:52:03.4338608+00:00,Unknown,Replica Earendel's Embrace,Grinning Fetish,Sceptre,Unique,,
2026-01-06T22:52:03.4338804+00:00,Unknown,Replica Veil of the Night,Great Helmet,Helmet,Unique,,
2026-01-06T22:52:15.4388786+00:00,Unknown,Replica Veil of the Night,Great Helmet,Helmet,Unique,,
2026-01-07T19:30:12.9108747+00:00,Unknown,Replica Allelopathy,Satin Gloves,Gloves,Unique,,
2026-01-07T19:30:17.9192128+00:00,Unknown,Replica Tempestuous Steel,War Sword,One Hand Sword,Unique,,
2026-01-07T19:30:17.9194625+00:00,Unknown,Replica Lioneye's Paws,Bronzescale Boots,Boots,Unique,,
2026-01-07T19:30:17.9201874+00:00,Unknown,19x Blessed Orb,Blessed Orb,StackableCurrency,,19,
2026-01-07T19:30:17.9202129+00:00,Unknown,16x Orb of Regret,Orb of Regret,StackableCurrency,,16,
2026-01-07T19:31:26.5269515+00:00,Unknown,20x Gemcutter's Prism,Gemcutter's Prism,StackableCurrency,,20,
2026-01-07T19:31:31.5469305+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-07T19:31:31.5469449+00:00,Unknown,Replica Quill Rain,Short Bow,Bow,Unique,,
2026-01-07T19:31:31.5469536+00:00,Unknown,Ceremonial Axe,Ceremonial Axe,One Hand Axe,Rare,,Enchantment Speed Modifier Effect and No Red Sockets
2026-01-07T19:31:31.5480415+00:00,Unknown,Tempered Foil,Tempered Foil,Thrusting One Hand Sword,Rare,,Enchantment Speed Modifier Effect
2026-01-07T19:32:21.5985426+00:00,Unknown,Replica Lavianga's Spirit,Sanctified Mana Flask,ManaFlask,Unique,,
2026-01-07T19:32:21.5985666+00:00,Unknown,Prophecy Wand,Prophecy Wand,Wand,Rare,,Enchantment Fire Modifier Effect and Attribute Modifier Effect
2026-01-07T19:32:26.6111289+00:00,Unknown,Abyssal Axe,Abyssal Axe,Two Hand Axe,Rare,,Enchantment Attribute Requirement
2026-01-07T19:32:26.6111598+00:00,Unknown,Replica Dreamfeather,Eternal Sword,One Hand Sword,Unique,,
2026-01-07T19:32:26.6111694+00:00,Unknown,Spidersilk Robe,Spidersilk Robe,Body Armour,Rare,,Enchantment Attribute Modifier Effect and No Red Sockets
2026-01-07T19:33:24.6151687+00:00,Unknown,Replica Quill Rain,Short Bow,Bow,Unique,,
2026-01-07T19:33:24.6152531+00:00,Unknown,Thief's Trinket,Thief's Trinket,Trinket,Rare,,
2026-01-07T19:33:29.6167649+00:00,Unknown,18x Orb of Scouring,Orb of Scouring,StackableCurrency,,18,
2026-01-07T19:33:29.6168846+00:00,Unknown,Replica Soul Strike,Spike-Point Arrow Quiver,Quiver,Unique,,
2026-01-07T19:33:29.6168953+00:00,Unknown,Replica Alpha's Howl,Sinner Tricorne,Helmet,Unique,,
2026-01-07T19:35:50.1583368+00:00,Unknown,Replica Three-step Assault,Shagreen Boots,Boots,Unique,,
2026-01-07T19:35:50.1583723+00:00,Unknown,Gladiator Plate,Gladiator Plate,Body Armour,Rare,,Enchantment Defence Modifier Effect
2026-01-07T19:35:55.1870155+00:00,Unknown,Replica Mistwall,Lacquered Buckler,Shield,Unique,,
2026-01-07T19:35:55.1870545+00:00,Unknown,Conjurer's Vestment,Conjurer's Vestment,Body Armour,Rare,,Enchantment Mana Modifier Effect and Only Red Sockets
2026-01-07T19:35:55.1872825+00:00,Unknown,Replica Innsbury Edge,Elder Sword,One Hand Sword,Unique,,
2026-01-07T19:37:04.5921426+00:00,Unknown,Replica Volkuur's Guidance,Zealot Gloves,Gloves,Unique,,
2026-01-07T19:37:09.5940027+00:00,Unknown,Devout Chainmail,Devout Chainmail,Body Armour,Rare,,Enchantment Life Modifier Effect
2026-01-07T19:37:09.5940332+00:00,Unknown,Thief's Trinket,Thief's Trinket,Trinket,Rare,,
2026-01-07T19:37:09.5940641+00:00,Unknown,Replica Volkuur's Guidance,Zealot Gloves,Gloves,Unique,,
2026-01-07T19:37:09.5940795+00:00,Unknown,19x Orb of Binding,Orb of Binding,StackableCurrency,,19,
2026-01-07T19:37:09.5940872+00:00,Unknown,Replica Dreamfeather,Eternal Sword,One Hand Sword,Unique,,
2026-01-07T19:40:51.7576485+00:00,Unknown,Replica Karui Ward,Jade Amulet,Amulet,Unique,,
2026-01-07T19:40:51.7576629+00:00,Unknown,Replica Frostbreath,Ornate Mace,One Hand Mace,Unique,,
2026-01-07T19:40:56.7661893+00:00,Unknown,17x Orb of Scouring,Orb of Scouring,StackableCurrency,,17,
2026-01-07T19:40:56.7662074+00:00,Unknown,Void Axe,Void Axe,Two Hand Axe,Rare,,Enchantment Physical Modifier Effect
2026-01-07T19:40:56.7662260+00:00,Unknown,Replica Innsbury Edge,Elder Sword,One Hand Sword,Unique,,
2026-01-07T19:41:54.4313681+00:00,Unknown,Replica Hinekora's Sight,Onyx Amulet,Amulet,Unique,,
2026-01-07T19:41:59.4461787+00:00,Unknown,Replica Karui Ward,Jade Amulet,Amulet,Unique,,
2026-01-07T19:41:59.4461888+00:00,Unknown,Replica Advancing Fortress,Gut Ripper,Claw,Unique,,
2026-01-07T19:41:59.4461917+00:00,Unknown,Coronal Leather,Coronal Leather,Body Armour,Rare,,Enchantment Attribute Modifier Effect and Attribute Requirements Penalty
2026-01-07T19:41:59.4462083+00:00,Unknown,Replica Harvest,Jasper Chopper,Two Hand Axe,Unique,,
2026-01-07T19:42:47.4171207+00:00,Unknown,Replica Volkuur's Guidance,Zealot Gloves,Gloves,Unique,,
2026-01-07T19:42:47.4171507+00:00,Unknown,Replica Veil of the Night,Great Helmet,Helmet,Unique,,
2026-01-07T19:43:31.4955255+00:00,Unknown,Thief's Trinket,Thief's Trinket,Trinket,Rare,,
2026-01-07T19:43:36.5010622+00:00,Unknown,Replica Restless Ward,Carnal Armour,Body Armour,Unique,,
2026-01-07T19:43:36.5010738+00:00,Unknown,Thief's Trinket,Thief's Trinket,Trinket,Rare,,
2026-01-07T19:43:36.5010773+00:00,Unknown,Karui Axe,Karui Axe,One Hand Axe,Rare,,Enchantment Attribute Modifier Effect
2026-01-07T19:43:36.5010953+00:00,Unknown,Replica Inya's Epiphany,Arcanist Slippers,Boots,Unique,,
2026-01-07T19:43:36.5010984+00:00,Unknown,Sadist Garb,Sadist Garb,Body Armour,Rare,,Enchantment Mana Modifier Effect and Resistance Modifier Effect
2026-01-07T19:44:21.4488318+00:00,Unknown,Imperial Skean,Imperial Skean,Rune Dagger,Rare,,Enchantment Lightning Modifier Effect and Attribute Requirement
2026-01-07T19:44:26.4659166+00:00,Unknown,Nightweave Robe,Nightweave Robe,Body Armour,Rare,,Enchantment Attribute Modifier Effect and No Blue Sockets
2026-01-07T19:44:26.4659448+00:00,Unknown,Replica Bitterdream,Shadow Sceptre,Sceptre,Unique,,
2026-01-07T19:44:26.4660685+00:00,Unknown,Astrolabe Amulet,Astrolabe Amulet,Amulet,Rare,,
2026-01-07T19:44:26.4660774+00:00,Unknown,Replica Blood Thorn,Gnarled Branch,Staff,Unique,,
2026-01-07T19:45:03.5143586+00:00,Unknown,Replica Bitterdream,Shadow Sceptre,Sceptre,Unique,,
2026-01-07T19:45:50.9306277+00:00,Unknown,Replica Innsbury Edge,Elder Sword,One Hand Sword,Unique,,
2026-01-07T19:45:55.9415622+00:00,Unknown,Replica Leer Cast,Festival Mask,Helmet,Unique,,
2026-01-07T19:45:55.9415805+00:00,Unknown,Demon's Horn,Demon's Horn,Wand,Rare,,Enchantment Caster Damage Modifier Effect
2026-01-07T19:45:55.9416081+00:00,Unknown,20x Chaos Orb,Chaos Orb,StackableCurrency,,20,
2026-01-07T19:45:55.9416607+00:00,Unknown,Assassin's Garb,Assassin's Garb,Body Armour,Rare,,Enchantment Resistance Modifier Effect and Attribute Requirements Penalty
2026-01-07T19:46:27.1837243+00:00,Unknown,Replica Pacifism,Viridian Jewel,Jewel,Unique,,
2026-01-07T19:46:32.1932185+00:00,Unknown,Replica Heatshiver,Leather Hood,Helmet,Unique,,
2026-01-07T19:46:32.1932357+00:00,Unknown,20x Cartographer's Chisel,Cartographer's Chisel,StackableCurrency,,20,
2026-01-07T19:46:32.1932382+00:00,Unknown,Replica Bloodplay,Stiletto,Dagger,Unique,,
2026-01-07T19:46:32.1932413+00:00,Unknown,Replica Twyzel,Blasting Wand,Wand,Unique,,
2026-01-07T19:47:04.9158936+00:00,Unknown,Boom Mace,Boom Mace,One Hand Mace,Rare,,
2026-01-07T19:47:09.9186442+00:00,Unknown,Replica Inya's Epiphany,Arcanist Slippers,Boots,Unique,,
2026-01-07T19:47:09.9186620+00:00,Unknown,17x Orb of Binding,Orb of Binding,StackableCurrency,,17,
2026-01-07T19:47:09.9186657+00:00,Unknown,19x Cartographer's Chisel,Cartographer's Chisel,StackableCurrency,,19,
2026-01-07T19:47:14.9249082+00:00,Unknown,Replica Inya's Epiphany,Arcanist Slippers,Boots,Unique,,
2026-01-07T19:47:14.9249197+00:00,Unknown,Boom Mace,Boom Mace,One Hand Mace,Rare,,
2026-01-07T19:47:14.9249299+00:00,Unknown,Replica Siegebreaker,Heavy Belt,Belt,Unique,,
2026-01-07T19:47:14.9249435+00:00,Unknown,17x Orb of Binding,Orb of Binding,StackableCurrency,,17,
2026-01-07T19:47:14.9249477+00:00,Unknown,19x Cartographer's Chisel,Cartographer's Chisel,StackableCurrency,,19,
2026-01-07T19:47:49.2248613+00:00,Unknown,16x Orb of Regret,Orb of Regret,StackableCurrency,,16,
2026-01-07T19:47:49.2248708+00:00,Unknown,Opal Wand,Opal Wand,Wand,Rare,,Enchantment Physical Modifier Effect and Socket Penalty
2026-01-07T19:47:54.2364560+00:00,Unknown,Replica Lavianga's Spirit,Sanctified Mana Flask,ManaFlask,Unique,,
2026-01-07T19:47:54.2364744+00:00,Unknown,Replica Voideye,Unset Ring,Ring,Unique,,
2026-01-07T19:47:54.2364786+00:00,Unknown,Opal Wand,Opal Wand,Wand,Rare,,Enchantment Attribute Modifier Effect and Attribute Requirement Penalty
2026-01-07T19:48:28.0056684+00:00,Unknown,Opal Sceptre,Opal Sceptre,Sceptre,Rare,,Enchantment Mana Modifier Effect and White Sockets
2026-01-07T19:48:33.0157787+00:00,Unknown,Replica Quill Rain,Short Bow,Bow,Unique,,
2026-01-07T19:48:33.0157953+00:00,Unknown,1x Bestiary Scarab of Duplicating,Bestiary Scarab of Duplicating,MapFragment,,1,
2026-01-07T19:48:33.0157987+00:00,Unknown,1x Beyond Scarab of the Invasion,Beyond Scarab of the Invasion,MapFragment,,1,
2026-01-07T19:48:33.0157997+00:00,Unknown,Replica Allelopathy,Satin Gloves,Gloves,Unique,,
2026-01-07T19:49:14.4125104+00:00,Unknown,Legion Plate,Legion Plate,Body Armour,Rare,,Enchantment Attribute Modifier Effect
2026-01-07T19:49:19.4275277+00:00,Unknown,Crypt Armour,Crypt Armour,Body Armour,Rare,,Enchantment Defence Modifier Effect and Resistance Modifier Effect Penalty
2026-01-07T19:49:19.4275425+00:00,Unknown,Prehistoric Claw,Prehistoric Claw,Claw,Rare,,Enchantment Speed Modifier Effect
2026-01-07T19:49:19.4275507+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-07T19:49:19.4275534+00:00,Unknown,Replica Sorrow of the Divine,Sulphur Flask,UtilityFlask,Unique,,
2026-01-07T19:50:07.9316561+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-07T19:50:07.9316752+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-07T19:50:12.9411208+00:00,Unknown,Replica Heartbreaker,Royal Skean,Rune Dagger,Unique,,
2026-01-07T19:50:12.9411430+00:00,Unknown,1x Sulphite Scarab of Fumes,Sulphite Scarab of Fumes,MapFragment,,1,
2026-01-07T19:50:12.9411462+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-11T22:31:33.4633896+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-11T22:31:33.4643225+00:00,Unknown,Replica Advancing Fortress,Gut Ripper,Claw,Unique,,
2026-01-11T22:31:33.4644232+00:00,Unknown,Replica Kalisa's Grace,Samite Gloves,Gloves,Unique,,
2026-01-11T22:31:38.6956659+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-11T22:31:39.5553817+00:00,Unknown,Replica Grip of the Council,Arcanist Gloves,Gloves,Unique,,
2026-01-11T22:31:39.5554091+00:00,Unknown,Replica Bloodplay,Stiletto,Dagger,Unique,,
2026-01-11T22:31:41.2975675+00:00,Unknown,Replica Advancing Fortress,Gut Ripper,Claw,Unique,,
2026-01-11T22:31:41.2975957+00:00,Unknown,Replica Kalisa's Grace,Samite Gloves,Gloves,Unique,,
2026-01-11T22:31:41.2975985+00:00,Unknown,Replica Kalisa's Grace,Samite Gloves,Gloves,Unique,,
2026-01-11T22:32:15.0413449+00:00,Unknown,Replica Last Resort,Nailed Fist,Claw,Unique,,
2026-01-11T22:32:15.0413882+00:00,Unknown,Replica Leer Cast,Festival Mask,Helmet,Unique,,
2026-01-11T22:32:15.0413921+00:00,Unknown,Full Wyrmscale,Full Wyrmscale,Body Armour,Rare,,Enchantment Defence Modifier Effect and Attribute Requirements
2026-01-11T22:32:15.0438618+00:00,Unknown,Replica Veil of the Night,Great Helmet,Helmet,Unique,,
2026-01-11T22:32:15.0438753+00:00,Unknown,Battle Lamellar,Battle Lamellar,Body Armour,Rare,,Enchantment White Sockets
2026-01-11T22:32:36.0594217+00:00,Unknown,Full Wyrmscale,Full Wyrmscale,Body Armour,Rare,,Enchantment Defence Modifier Effect and Attribute Requirements
2026-01-12T17:58:28.6908376+00:00,Unknown,Terror Claw,Terror Claw,Claw,Rare,,Enchantment Fire Modifier Effect
2026-01-12T17:58:28.6932991+00:00,Unknown,Replica Lioneye's Paws,Bronzescale Boots,Boots,Unique,,
2026-01-12T17:58:30.0622838+00:00,Unknown,Latticed Ringmail,Latticed Ringmail,Body Armour,Rare,,Enchantment White Sockets
2026-01-12T17:58:30.0623070+00:00,Unknown,Replica Inya's Epiphany,Arcanist Slippers,Boots,Unique,,
2026-01-12T17:58:30.0623101+00:00,Unknown,Replica Heartbreaker,Royal Skean,Rune Dagger,Unique,,
2026-01-12T18:00:23.9485525+00:00,Unknown,Replica Reckless Defence,Cobalt Jewel,Jewel,Unique,,
2026-01-12T18:00:23.9486071+00:00,Unknown,Replica Twyzel,Blasting Wand,Wand,Unique,,
2026-01-12T18:00:23.9486127+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-12T18:00:32.2864397+00:00,Unknown,Imperial Skean,Imperial Skean,Rune Dagger,Rare,,Enchantment Fire Modifier Effect and Only Green Sockets
2026-01-12T18:00:32.2865128+00:00,Unknown,Fiend Dagger,Fiend Dagger,Rune Dagger,Rare,,Enchantment Speed Modifier Effect and No Blue Sockets
2026-01-12T18:00:40.0022131+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-12T18:00:44.3453079+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-12T18:00:47.7502729+00:00,Unknown,Replica Twyzel,Blasting Wand,Wand,Unique,,
2026-01-12T18:00:50.1828747+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-12T18:00:51.2003490+00:00,Unknown,Replica Ambu's Charge,Crusader Chainmail,Body Armour,Unique,,
2026-01-12T18:02:08.4432157+00:00,Unknown,Sundering Axe,Sundering Axe,Two Hand Axe,Rare,,Enchantment Attribute Modifier Effect and Only Green Sockets
2026-01-12T18:02:08.4432566+00:00,Unknown,Replica Mistwall,Lacquered Buckler,Shield,Unique,,
2026-01-12T18:02:08.4432715+00:00,Unknown,Omen Wand,Omen Wand,Wand,Rare,,Enchantment Mana Modifier Effect and No Green Sockets
2026-01-12T18:02:10.8971032+00:00,Unknown,Lacquered Garb,Lacquered Garb,Body Armour,Rare,,Enchantment White Sockets
2026-01-12T18:02:10.8971277+00:00,Unknown,Replica Doedre's Damning,Paua Ring,Ring,Unique,,
2026-01-12T18:02:29.8128375+00:00,Unknown,Omen Wand,Omen Wand,Wand,Rare,,Enchantment Mana Modifier Effect and No Green Sockets
2026-01-12T18:02:31.1698055+00:00,Unknown,Omen Wand,Omen Wand,Wand,Rare,,Enchantment Mana Modifier Effect and No Green Sockets
2026-01-12T18:02:31.1698587+00:00,Unknown,Lacquered Garb,Lacquered Garb,Body Armour,Rare,,Enchantment White Sockets
2026-01-12T18:02:32.1745301+00:00,Unknown,Replica Doedre's Damning,Paua Ring,Ring,Unique,,
